v2Code,Matrix,Analyte,Analyte Code,Extraction Name,Extraction Name Code,Extraction reagents/formulation,Extraction Ratio (Soil:Extractant),Extraction Basis,Extraction Time,Analyte Measurement,Analyte Measurement Code,Observation Category,Reporting Unit,Reporting Unit Code,Acceptance,Status,Organization,Citation
L_MODV2_SOIL_MO_015,SOIL,molybdenum,MO,Nitric Acid,NITRIC_ACID,,,,,ICP,ICP,MEASURED,mg/kg,mg1kg-1,EXPERIMENTAL,RETIRED,,
L_MODV2_SOIL_MO_016,SOIL,molybdenum,MO,Plant Root Simulator,PLANT_ROOT_SIMULATOR,Plant Root Simulator - PRS,Saturated paste,in situ probe,24 hrs,ICP-OES,ICP-OES,MEASURED,mg/m2,mg1[m2]-1,PROPRIETARY,VALID,Western Ag Innovations,"2013.  Ion Supply Rates Using PRS® Probes, pp. 1149-152 in R. O. Miller, R Gavlak and D Horneck, eds. Soil, Plant and Water Reference Methods for the Western Region.  WREP-125, 4th Edition."
L_MODV2_SOIL_MO_017,SOIL,molybdenum,MO,Plant Root Simulator,PLANT_ROOT_SIMULATOR,Plant Root Simulator - PRS,Saturated paste,in situ probe,24 hrs,ICP-OES,ICP-OES,MEASURED,mg/m2,mg1[m2]-1,PROPRIETARY,VALID,Western Ag Innovations,"2013.  Ion Supply Rates Using PRS® Probes, pp. 1149-152 in R. O. Miller, R Gavlak and D Horneck, eds. Soil, Plant and Water Reference Methods for the Western Region.  WREP-125, 4th Edition."
L_MODV2_SOIL_MO_018,SOIL,molybdenum,MO,Plant Root Simulator,PLANT_ROOT_SIMULATOR,Plant Root Simulator - PRS (0.5 M HCl),Saturated paste,in situ probe,60 min acid leaching,ICP-OES,ICP-OES,MEASURED,mg/L,mg1L-1,EXPERIMENTAL,VALID,Western Ag Innovations,"2013.  Ion Supply Rates Using PRS® Probes, pp. 1149-152 in R. O. Miller, R Gavlak and D Horneck, eds. Soil, Plant and Water Reference Methods for the Western Region.  WREP-125, 4th Edition."
L_MODV2_SOIL_MO_019,SOIL,molybdenum,MO,Plant Root Simulator,PLANT_ROOT_SIMULATOR,Plant Root Simulator - PRS,Saturated paste,in situ probe,180 min,ICP-OES,ICP-OES,MEASURED,mg/m2,mg1[m2]-1,PROPRIETARY,VALID,Western Ag Innovations,"2013.  Ion Supply Rates Using PRS® Probes, pp. 1149-152 in R. O. Miller, R Gavlak and D Horneck, eds. Soil, Plant and Water Reference Methods for the Western Region.  WREP-125, 4th Edition."
L_MODV2_SOIL_MO_020,SOIL,molybdenum,MO,Plant Root Simulator,PLANT_ROOT_SIMULATOR,Plant Root Simulator - PRS,Saturated paste,m/v,,ICP-OES,ICP-OES,MEASURED,mg/kg,mg1kg-1,EXPERIMENTAL,VALID,,
L_MODV2_SOIL_MO_021,SOIL,molybdenum,MO,Saturated paste,SATURATED_PASTE,"Soil saturated with DI water, subsequent extraction and retained for analysis",Saturated paste,m/m,4 hrs,ICP-OES,ICP-OES,MEASURED,mg/L,mg1L-1,PROVISIONAL,VALID,USDA,"US Salinity Staff, 1954. L.A Richards (ed.) Diagnosis and improvement of saline alkali soils. 160 p.  USDA Handb. 60 US Govt. Print Office, Washington DC."
L_MODV2_SOIL_MO_022,SOIL,molybdenum,MO,Slurry,SLURRY,Hot Dionized Water,,,,ICP,ICP,MEASURED,mg/kg,mg1kg-1,EXPERIMENTAL,RETIRED,,
L_MODV2_SOIL_NAG_001,SOIL,N-acetyl-?-D-glucosaminidase (NAG),NAG,Incubation,INCUBATION,Assay incubation,1:10,v/v,60 min,Spectrophotometric,SPECTROPHOTOMETRIC,MEASURED,nmol/h/mg,nmol1hr-1mg-1,EXPERIMENTAL,VALID,https://directives.sc.egov.usda.gov/OpenNonWebContent.aspx?content=44475.wba Page 61,#REF!
L_MODV2_SOIL_NI_001,SOIL,nickel,NI,EPA 3050 Digestion Acid Recoverable,EPA_3050_DIGESTION_ACID_RECOVERABLE,,,,,ICP,ICP,MEASURED,mg/kg,mg1kg-1,EXPERIMENTAL,RETIRED,,
L_MODV2_SOIL_NI_002,SOIL,nickel,NI,EPA 3050A/B,EPA_3050A_B,"EPA 3050A/B Digestion (Nitric Acid, Hydrochloric Acid), EPA 6010B Determination (ICP-OES)",1:15 (varies),m/v,"Heat to 95C, reflux for 15 minutes, cool, then add 5 mL HNO3 and reflux for 30 minutes. Repeat last step as required.",ICP-OES,ICP-OES,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,US-EPA,"U.S. EPA. 1996. “Method 3050B: Acid Digestion of Sediments, Sludges, and Soils,” Revision 2. Washington, DC. / EPA Method 3050B (SW-846): Acid Digestion of Sediments, Sludges, and Soils, 1996."
L_MODV2_SOIL_NI_003,SOIL,nickel,NI,EPA 3051A/B,EPA_3051A_B,"EPA 3051A/B Microwave Digestion (Nitric Acid, Hydrochloric Acid), EPA 6010B Determination (ICP-OES) ",1:10,,,,,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,US-EPA,
L_MODV2_SOIL_NI_004,SOIL,nickel,NI,EPA 3052,EPA_3052,"EPA 3052 MIcrowave Digestion (Nitric Acid, Hydrofluoric Acid), EPA 6010B Determination (ICP-OES) ",1:10,,,,,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,US-EPA,
L_MODV2_SOIL_NI_005,SOIL,nickel,NI,Mehlich 3 ,MEHLICH_3,Mehlich 3 (0.2N CH3COOH + 0.25N NH4NO3 + 0.013N HNO3 + 0.015N NH4F + 0.001M EDTA),1:10,m/v,5 min,ICP-OES,ICP-OES,MEASURED,mg/kg,mg1kg-1,EXPERIMENTAL,VALID,"SERA-6, NCERA-13, NEC-1812","Soil Test Methods From the Southeastern United States, SERA-IEG-6, 2014, Chapter 4.3"
L_MODV2_SOIL_NO3_001,SOIL,nitrate,NO3,Plant Root Simulator,PLANT_ROOT_SIMULATOR,Plant Root Simulator - PRS,Saturated paste,in situ probe,180 min,Spectrophotometric,SPECTROPHOTOMETRIC,MEASURED,mg/m2,mg1[m2]-1,PROPRIETARY,VALID,Western Ag Innovations,"2013.  Ion Supply Rates Using PRS® Probes, pp. 1149-152 in R. O. Miller, R Gavlak and D Horneck, eds. Soil, Plant and Water Reference Methods for the Western Region.  WREP-125, 4th Edition."
L_MODV2_SOIL_NO3_002,SOIL,nitrate,NO3,Plant Root Simulator,PLANT_ROOT_SIMULATOR,Plant Root Simulator - PRS,Saturated paste,in situ probe,24 hrs,Spectrophotometric,SPECTROPHOTOMETRIC,MEASURED,mg/m2,mg1[m2]-1,PROPRIETARY,VALID,Western Ag Innovations,"2013.  Ion Supply Rates Using PRS® Probes, pp. 1149-152 in R. O. Miller, R Gavlak and D Horneck, eds. Soil, Plant and Water Reference Methods for the Western Region.  WREP-125, 4th Edition."
L_MODV2_SOIL_NO3N_001,SOIL,nitrate-nitrogen,NO3N,Aluminum Sulfate,ALUMINUM_SULFATE,Aluminum Sulfate/Boric Acid,,,,Ion Selective Electrode,ION_SELECTIVE_ELECTRODE,MEASURED,mg/kg,mg1kg-1,EXPERIMENTAL,VALID,,
L_MODV2_SOIL_NO3N_002,SOIL,nitrate-nitrogen,NO3N,Calcium Chloride,CALCIUM_CHLORIDE,0.01 M CaCl2,1:10,m/v,120 min,ICP-OES,ICP-OES,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,WEPAL,"Houba, V.J.G.; Novozamsky, I.; Lexmond, T.M.; Van der Lee, J.J., 2008.  Applicability of 0.01 M CaCl2 as a single extraction solution for the assessment of the nutrient status of soils and other diagnostic purposes. Communications in Soil Science and Plant Analysis, Volume 21, 1990 - Issue 19-20."
L_MODV2_SOIL_NO3N_003,SOIL,nitrate-nitrogen,NO3N,Calcium Chloride,CALCIUM_CHLORIDE,2.0 M CaCl2,1:05,m/v,30 min,Spectrophotometric,SPECTROPHOTOMETRIC,MEASURED,mg/kg,mg1kg-1,PROVISIONAL,VALID,,
L_MODV2_SOIL_NO3N_004,SOIL,nitrate-nitrogen,NO3N,Calcium Sulfate,CALCIUM_SULFATE,Calcium Sulfate/ Chromotropic Acid,1:05,m/v,5 min,Spectrophotometric,SPECTROPHOTOMETRIC,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,WERA-103,"Soil, Plant and Water Reference Methods for the Western Region, 2005, WERA-103. Method S-3.30, pp 41-42"
L_MODV2_SOIL_NO3N_005,SOIL,nitrate-nitrogen,NO3N,Slurry,SLURRY,Deionized Water ,1:01,,,Cd Red/Spectrophotometric,CD_RED_SPECTROPHOTOMETRIC,MEASURED,meq/L,meq1l-1,EXPERIMENTAL,RETIRED,,
L_MODV2_SOIL_NO3N_006,SOIL,nitrate-nitrogen,NO3N,EPA 300.0,EPA_300_0,Deionized water - EPA 300.0,1:10,m/v,10 min,ICP-OES,ICP-OES,MEASURED,mg/L,mg1L-1,OFFICIAL,VALID,US-EPA,"EPA 300.0  Determination of Inorganic Anions by Ion Chromatography, Revision 2.1, August 1993."
L_MODV2_SOIL_NO3N_007,SOIL,nitrate-nitrogen,NO3N,EPA 353.2,EPA_353_2,,,,,Spectrophotometric,SPECTROPHOTOMETRIC,MEASURED,mg/kg,mg1kg-1,EXPERIMENTAL,RETIRED,,
L_MODV2_SOIL_NO3N_008,SOIL,nitrate-nitrogen,NO3N,H3A-1,H3A-1,H3A-1 Extractant (H3A-1 0.0024 M citric acid + 0.004 M oxalic acid + 0.004 M malic acid at pH 3.75 ),1:10,m/v,10 min,Spectrophotometric,SPECTROPHOTOMETRIC,MEASURED,mg/kg,mg1kg-1,PROVISIONAL,VALID,,"Haney, R. L., et al. ""Modifications to the new soil extractant H3A-1: A multinutrient extractant."" Communications in soil science and plant analysis 41.12 (2010): 1513-1523."
L_MODV2_SOIL_NO3N_009,SOIL,nitrate-nitrogen,NO3N,Ion Exchange Resin,ION_EXCHANGE_RESIN,Resin Extraction - Unibest (0.5 M HCl),Saturated paste,,,Spectrophotometric,SPECTROPHOTOMETRIC,MEASURED,mg/kg,mg1kg-1,PROPRIETARY,VALID,,
L_MODV2_SOIL_NO3N_010,SOIL,nitrate-nitrogen,NO3N,Potassium Chloride,POTASSIUM_CHLORIDE,2.0 M KCl,1:05,m/v,30 min,Cd Red/Spectrophotometric,CD_RED_SPECTROPHOTOMETRIC,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,WERA-103,"Soil, Plant and Water Reference Methods for the Western Region, 2005, WERA-103.  Method S-3.10, pp 39-40"
L_MODV2_SOIL_NO3N_011,SOIL,nitrate-nitrogen,NO3N,Potassium Chloride,POTASSIUM_CHLORIDE,2.0 M KCl,01:02.5,m/v,5 min,Ion Selective Electrode,ION_SELECTIVE_ELECTRODE,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,NCERA-13,"North Central Regional Research Publication No. 221 (Revised 2015), Chapter 5, pp 5.2-5.3."
L_MODV2_SOIL_NO3N_012,SOIL,nitrate-nitrogen,NO3N,Potassium Chloride,POTASSIUM_CHLORIDE,2.0 M KCl,1:05,m/v,30 min,Dif-Cond/Spectrophotometric,DIF-COND_SPECTROPHOTOMETRIC,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,WERA-103,"Soil, Plant and Water Reference Methods for the Western Region, 2005, WERA-103.  Method S-3.10, pp 39-40"
L_MODV2_SOIL_NO3N_013,SOIL,nitrate-nitrogen,NO3N,Potassium Chloride,POTASSIUM_CHLORIDE,1.0 M KCl,1:05,m/v,30 min,Cd Red/Spectrophotometric,CD_RED_SPECTROPHOTOMETRIC,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,NCERA-13,"North Central Regional Research Publication No. 221 (Revised 2015), Chapter 5, pp 5.1-5.3."
L_MODV2_SOIL_NO3N_014,SOIL,nitrate-nitrogen,NO3N,Potassium Chloride,POTASSIUM_CHLORIDE,2.0 M KCl,1:05,m/v,30 min,Cd Red/Spectrophotometric,CD_RED_SPECTROPHOTOMETRIC,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,NCERA-13,"North Central Regional Research Publication No. 221 (Revised 2015), Chapter 5, pp 5.1-5.3."
L_MODV2_SOIL_NO3N_015,SOIL,nitrate-nitrogen,NO3N,Potassium Chloride,POTASSIUM_CHLORIDE,0.5 M KCl,,,,Spectrophotometric,SPECTROPHOTOMETRIC,MEASURED,mg/kg,mg1kg-1,EXPERIMENTAL,VALID,,
L_MODV2_SOIL_NO3N_016,SOIL,nitrate-nitrogen,NO3N,Potassium Sulfate,POTASSIUM_SULFATE,0.5 M K2SO4,,,,Spectrophotometric,SPECTROPHOTOMETRIC,MEASURED,mg/kg,mg1kg-1,EXPERIMENTAL,VALID,,
L_MODV2_SOIL_NO3N_017,SOIL,nitrate-nitrogen,NO3N,Saturated paste,SATURATED_PASTE,"Soil saturated with DI water, subsequent extraction and retained for analysis, Chromotrophic Acid",Saturated paste,m/m,4 hrs,Spectrophotometric,SPECTROPHOTOMETRIC,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,USDA,"US Salinity Staff, 1954. L.A Richards (ed.) Diagnosis and improvement of saline alkali soils. 160 p.  USDA Handb. 60 US Govt. Print Office, Washington DC."
L_MODV2_SOIL_NO3N_018,SOIL,nitrate-nitrogen,NO3N,Saturated paste,SATURATED_PASTE,"Soil saturated with DI water, subsequent extraction and retained for analysis",Saturated paste,m/m,4 hrs,Cd Red/Spectrophotometric,CD_RED_SPECTROPHOTOMETRIC,MEASURED,meq/L,meq1l-1,OFFICIAL,VALID,USDA,"US Salinity Staff, 1954. L.A Richards (ed.) Diagnosis and improvement of saline alkali soils. 160 p.  USDA Handb. 60 US Govt. Print Office, Washington DC."
L_MODV2_SOIL_NO3N_019,SOIL,nitrate-nitrogen,NO3N,Saturated paste,SATURATED_PASTE,"Soil saturated with DI water, subsequent extraction and retained for analysis",Saturated paste,m/m,4 hrs,ion selective electrode,ION_SELECTIVE_ELECTRODE,MEASURED,meq/L,meq1l-1,OFFICIAL,VALID,USDA,"US Salinity Staff, 1954. L.A Richards (ed.) Diagnosis and improvement of saline alkali soils. 160 p.  USDA Handb. 60 US Govt. Print Office, Washington DC."
L_MODV2_SOIL_NO3N_020,SOIL,nitrate-nitrogen,NO3N,Saturated paste,SATURATED_PASTE,"Soil saturated with DI water, subsequent extraction and retained for analysis",Saturated paste,m/m,4 hrs,Spectrophotometric,SPECTROPHOTOMETRIC,MEASURED,meq/L,meq1l-1,OFFICIAL,VALID,USDA,"US Salinity Staff, 1954. L.A Richards (ed.) Diagnosis and improvement of saline alkali soils. 160 p.  USDA Handb. 60 US Govt. Print Office, Washington DC."
L_MODV2_SOIL_NO3N_021,SOIL,nitrate-nitrogen,NO3N,Sodium Bicarbonate,SODIUM_BICARBONATE,Extraction/Bicarb,1:20,,,Cd Red/Spectrophotometric,CD_RED_SPECTROPHOTOMETRIC,MEASURED,mg/kg,mg1kg-1,EXPERIMENTAL,VALID,,
L_MODV2_SOIL_NO2N_001,SOIL,nitrite-nitrogen,NO2N,Potassium Chloride,POTASSIUM_CHLORIDE,1.0 M KCl,1:05,m/v,30 min,Cd Red/Spectrophotometric,CD_RED_SPECTROPHOTOMETRIC,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,NCERA-13,"North Central Regional Research Publication No. 221 (Revised 2015), Chapter 5, pp 5.1-5.3."
L_MODV2_SOIL_NMR_001,SOIL,nitrogen mineralization rate,NMR,Incubation,INCUBATION,Short-term anaerobic incubation with ammonium and nitrate measured colorimetrically pre- and post-incubation,1:10,m/v,Varies,Spectrophotometric,SPECTROPHOTOMETRIC,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,Soil Health Institute,"Bundy and Meisinger, 1994"
L_MODV2_SOIL_TKN_001,SOIL,"nitrogen, total",TKN,Kjeldahl,KJELDAHL,18 M H2SO4,1:10 (varies),m/v,45-75 minutes,Titration,TITRATION,MEASURED,%,prcnt,OFFICIAL,VALID,SSSA,"Methods of Soil Analysis: Part 2 Chemical and Microbiological Properties, 9.2.2, Second Edition, Chapter 31."
L_MODV2_SOIL_TKN_002,SOIL,"nitrogen, total",TKN,Kjeldahl,KJELDAHL,18 M H2SO4,1:10 (varies),m/v,45-75 minutes,Spectrophotometric,SPECTROPHOTOMETRIC,MEASURED,%,prcnt,OFFICIAL,VALID,SSSA,"Methods of Soil Analysis: Part 2 Chemical and Microbiological Properties, 9.2.2, Second Edition, Chapter 31."
L_MODV2_SOIL_TKN_003,SOIL,"nitrogen, total",TKN,Kjeldahl,KJELDAHL,18 M H2SO4,1:10 (varies),m/v,45-75 minutes,Diffusion Conductivity,DIFFUSION_CONDUCTIVITY,MEASURED,%,prcnt,OFFICIAL,VALID,SSSA,"Methods of Soil Analysis: Part 2 Chemical and Microbiological Properties, 9.2.2, Second Edition, Chapter 31."
L_MODV2_SOIL_TKN_004,SOIL,"nitrogen, total",TKN,Kjeldahl,KJELDAHL,18 M H2SO4,1:10 (varies),m/v,45-75 minutes,Steam Distillation/Titration,STEAM_DISTILLATION_TITRATION,MEASURED,%,prcnt,OFFICIAL,VALID,SSSA,"Methods of Soil Analysis: Part 2 Chemical and Microbiological Properties, 9.2.2, Second Edition, Chapter 31."
L_MODV2_SOIL_TKN_005,SOIL,"nitrogen, total",TKN,Kjeldahl,KJELDAHL,18 M H2SO4,1:10 (varies),m/v,45-75 minutes,Spectrophotometric,SPECTROPHOTOMETRIC,MEASURED,%,prcnt,OFFICIAL,VALID,SSSA,"Methods of Soil Analysis: Part 2 Chemical and Microbiological Properties, 9.2.2, Second Edition, Chapter 31."
L_MODV2_SOIL_TKN_006,SOIL,"nitrogen, total",TKN,Kjeldahl,KJELDAHL,18 M H2SO4,1:10 (varies),m/v,45-75 minutes,Diffusion Conductivity,DIFFUSION_CONDUCTIVITY,MEASURED,%,prcnt,OFFICIAL,VALID,SSSA,"Methods of Soil Analysis: Part 2 Chemical and Microbiological Properties, 9.2.2, Second Edition, Chapter 31."
L_MODV2_SOIL_TKN_007,SOIL,"nitrogen, total",TKN,Kjeldahl,KJELDAHL,18 M H2SO4,1:10 (varies),m/v,45-75 minutes,Titration,TITRATION,MEASURED,%,prcnt,OFFICIAL,VALID,SSSA,"Methods of Soil Analysis: Part 2 Chemical and Microbiological Properties, 9.2.2, Second Edition, Chapter 31."
L_MODV2_SOIL_TN_001,SOIL,"nitrogen, total",TN,Calculation,CALCULATION,Calculation,Calculation,Calculation,Calculation,Calculation,CALCULATION,MEASURED,%,prcnt,EXPERIMENTAL,VALID,,
L_MODV2_SOIL_TN_002,SOIL,"nitrogen, total",TN,Combustion,COMBUSTION,Combustion,N/A,m,10 min typical,Combustion Analyzer,COMBUSTION_ANALYZER,MEASURED,%,prcnt,OFFICIAL,VALID,WERA-103,"Soil, Plant and Water Reference Methods for the Western Region, 2005, Method S-9.30, pp 116-118."
L_MODV2_SOIL_TN_003,SOIL,"nitrogen, total",TN,Slurry,SLURRY,Deionized Water,,m/v,,Spectrophotometric,SPECTROPHOTOMETRIC,MEASURED,%,prcnt,EXPERIMENTAL,VALID,,
L_MODV2_SOIL_TN_004,SOIL,"nitrogen, total",TN,Ion Exchange Resin,ION_EXCHANGE_RESIN,Resin Extraction - Unibest (0.5 M HCl),Saturated paste,,,Spectrophotometric,SPECTROPHOTOMETRIC,MEASURED,lb/ac/day,lb1ac-1day-1,PROPRIETARY,VALID,,
L_MODV2_SOIL_TIN_001,SOIL,"nitrogen, total inorganic",TIN,Calculation,CALCULATION,Calculation,Calculation,Calculation,Calculation,Calculation,CALCULATION,MEASURED,mg/kg,mg1kg-1,OFFICIAL,VALID,SSSA,"Methods of Soil Analysis: Part 2 Chemical and Microbiological Properties, 9.2.2, Second Edition, Chapter 33."
L_MODV2_SOIL_NULL_001,SOIL,null,NULL,,,,,,,,,MEASURED,None,none,EXPERIMENTAL,RETIRED,,
L_MODV2_SOIL_OC_001,SOIL,organic carbon,OC,Combustion,COMBUSTION,Combustion,N/A,m,N/A,Combustion Analyzer,COMBUSTION_ANALYZER,MEASURED,%,prcnt,OFFICIAL,VALID,WERA-103,"Soil, Plant and Water Reference Methods for the Western Region, 3rd Edition, 2005, Method S-9.10, pp 111-113."
L_MODV2_SOIL_OC_002,SOIL,organic carbon,OC,Walkley-Black,WALKLEY-BLACK,Walkley-Black (0.5 M Na2Cr2O7 •2H2O in 5 M H2SO4),1:10,m/v,30 min,Spectrophotometric,SPECTROPHOTOMETRIC,MEASURED,%,prcnt,OFFICIAL,VALID,NCERA-13,"North Central Regional Research Publication No. 221 (Revised 2015), Chapter 12, pp 12.4-12.5."
L_MODV2_SOIL_OC_003,SOIL,organic carbon,OC,Walkley-Black,WALKLEY-BLACK,"Dichromate Acid, Titration FeCl3",1:30,m/v,30 min,Titration,TITRATION,MEASURED,%,prcnt,OFFICIAL,VALID,NCERA-13,"North Central Regional Research Publication No. 221 (Revised 2015), Chapter 12, pp 12.5-12.6."
L_MODV2_SOIL_OC_004,SOIL,organic carbon,OC,Walkley-Black,WALKLEY-BLACK,"Walkley-Black (0.167 M K2Cr2O7 + conc. H2SO4), Titration with FeCl3",1:30,m/v,30 min,Titration,TITRATION,MEASURED,%,prcnt,OFFICIAL,VALID,NCERA-13,"North Central Regional Research Publication No. 221 (Revised 2015), Chapter 12, pp 12.3-12.4."
L_MODV2_SOIL_OC_005,SOIL,organic carbon,OC,Slurry,SLURRY,Deionized Water,1:10,,,Combustion Analyzer,COMBUSTION_ANALYZER,MEASURED,mg/kg,mg1kg-1,EXPERIMENTAL,RETIRED,,
L_MODV2_SOIL_OC_006,SOIL,organic carbon,OC,Loss on Ignition (LOI),LOSS_ON_IGNITION,Loss-on-Ignition - Heat at 360C for two hours (after temperature reaches 360C),N/A,m,120 min,Gravimetric,GRAVIMETRIC,MEASURED,%,prcnt,EXPERIMENTAL,VALID,ASPAC,"KARLA, Y. P., and D. G.MAYNARD, 1991.  Methods manual for forest soil and plant analysis. For. Can., Northwest Reg., North.For. Cent., Edmonton, Alberta. Canada. L11"
L_MODV2_SOIL_TOC_001,SOIL,"organic carbon, total",TOC,Dichromate Acid,DICHROMATE_ACID,Titration with FeCl3,,,,Titration,TITRATION,MEASURED,%,prcnt,EXPERIMENTAL,RETIRED,,
L_MODV2_SOIL_OM_001,SOIL,organic matter,OM,Calculation,CALCULATION,Organic Matter (Calculated),Calculation,Calculation,Calculation,Calculation,CALCULATION,CALCULATION,%,prcnt,EXPERIMENTAL,VALID,,
L_MODV2_SOIL_OM_002,SOIL,organic matter,OM,Color,COLOR,Munsel Color Chart,,,,Calculation,CALCULATION,MEASURED,%,prcnt,EXPERIMENTAL,INVALID,,
L_MODV2_SOIL_OM_003,SOIL,organic matter,OM,Combustion,COMBUSTION,Combustion,N/A,m,10 min,Combustion Analyzer,COMBUSTION_ANALYZER,MEASURED,%,prcnt,OFFICIAL,VALID,WERA-103,"Soil, Plant and Water Reference Methods for the Western Region, 3rd Edition, 2005, Method S-9.10, pp 111-113."
L_MODV2_SOIL_OM_004,SOIL,organic matter,OM,Loss on Ignition (LOI),LOSS_ON_IGNITION,Loss-on-Ignition - Heat at 360C for two hours (after temperature reaches 360C),N/A,m,120 min,Gravimetric,GRAVIMETRIC,MEASURED,%,prcnt,OFFICIAL,VALID,NCERA-13,"North Central Regional Research Publication No. 221 (Revised 2015), Chapter 12, pp 12.5-12.6."
L_MODV2_SOIL_OM_005,SOIL,organic matter,OM,Walkley-Black,WALKLEY-BLACK,Walkley-Black (0.5 M Na2Cr2O7 •2H2O in 5 M H2SO4),1:10,m/v,30 min,Spectrophotometric,SPECTROPHOTOMETRIC,MEASURED,%,prcnt,OFFICIAL,VALID,NCERA-13,"North Central Regional Research Publication No. 221 (Revised 2015), Chapter 12, pp 12.4-12.5."
L_MODV2_SOIL_OM_006,SOIL,organic matter,OM,Walkley-Black,WALKLEY-BLACK,"Walkley-Black (0.167 M K2Cr2O7 + conc. H2SO4), Titration with FeCl3",1:10,m/v,30 min,Titration,TITRATION,MEASURED,%,prcnt,OFFICIAL,VALID,NCERA-13,"North Central Regional Research Publication No. 221 (Revised 2015), Chapter 12, pp 12.3-12.4."
L_MODV2_SOIL_OM_007,SOIL,organic matter,OM,Loss on Ignition (LOI),LOSS_ON_IGNITION,Loss-on-Ignition - Heat at 550C for two hours (after temperature reaches 360C),N/A,m,120 min,Gravimetric,GRAVIMETRIC,MEASURED,%,prcnt,EXPERIMENTAL,VALID,Cornell,https://bpb-us-e1.wpmucdn.com/blogs.cornell.edu/dist/7/9922/files/2022/04/CSH10-Soil-Organic-Matter-Loss-on-Ignition-Total-C-Soil-Organic-Carbon-and-Total-N-SOP-4-2022.pdf
L_MODV2_SOIL_ON_001,SOIL,organic nitrogen,ON,Calculation,CALCULATION,Calculation,Calculation,Calculation,Calculation,Calculation,CALCULATION,MEASURED,mg/L,mg1L-1,EXPERIMENTAL,VALID,,
L_MODV2_SOIL_OTHER_001,SOIL,other,OTHER,,,,,,,,,MEASURED,None,none,EXPERIMENTAL,VALID,,
L_MODV2_SOIL_PCURATIO_001,SOIL,P:Cu ratio,PCURATIO,Mehlich 3 ,MEHLICH_3,,,,,ICP,ICP,MEASURED,ratio,ratio,EXPERIMENTAL,RETIRED,,
L_MODV2_SOIL_PCURATIO_002,SOIL,P:Cu ratio,PCURATIO,,,,,,,Calculation,CALCULATION,MEASURED,ratio,ratio,EXPERIMENTAL,RETIRED,,
L_MODV2_SOIL_PMNRATIO_001,SOIL,P:Mn ratio,PMNRATIO,Mehlich 3 ,MEHLICH_3,,,,,ICP,ICP,MEASURED,ratio,ratio,EXPERIMENTAL,RETIRED,,
L_MODV2_SOIL_PMNRATIO_002,SOIL,P:Mn ratio,PMNRATIO,,,,,,,Calculation,CALCULATION,MEASURED,ratio,ratio,EXPERIMENTAL,RETIRED,,
L_MODV2_SOIL_PSRATIO_001,SOIL,P:S ratio,PSRATIO,Mehlich 3 ICP,MEHLICH_3_ICP,,,,,"ICP, AAS",ICP_AAS,MEASURED,ratio,ratio,EXPERIMENTAL,RETIRED,,
L_MODV2_SOIL_PSRATIO_002,SOIL,P:S ratio,PSRATIO,,,,,,,Calculation,CALCULATION,MEASURED,ratio,ratio,EXPERIMENTAL,RETIRED,,
L_MODV2_SOIL_PZNRATIO_001,SOIL,P:Zn ratio,PZNRATIO,Mehlich 3 ,MEHLICH_3,,,,,ICP,ICP,MEASURED,ratio,ratio,EXPERIMENTAL,RETIRED,,
L_MODV2_SOIL_PZNRATIO_002,SOIL,P:Zn ratio,PZNRATIO,,,,,,,Calculation,CALCULATION,MEASURED,ratio,ratio,EXPERIMENTAL,RETIRED,,
L_MODV2_SOIL_PARTDENS_001,SOIL,particle density,PARTDENS,Sodium Hexametaphosphate Solution / Electrical Mixer,SODIUM_HEXAMETAPHOSPHATE_SOLUTION_ELECTRICAL_MIXER,"Sodium hexameta phosphate, 5g/L",1:20 (varies),m/m,120 min,Pycnometer,PYCNOMETER,MEASURED,g/cm3,g1[cm3]-1,OFFICIAL,VALID,SSSA,"Methods of Soil Analysis: Part 4 Physical Methods, 5.4.  Gee and Or, 2002.  Chapter 2.4. Particle-Size Analysis, pages 265-269."
L_MODV2_SOIL_POM_001,SOIL,particulate organic matter 53-2000 um,POM,Sodium Hexametaphosphate Solution / Reciprocating Shaker,SODIUM_HEXAMETAPHOSPHATE_SOLUTION_RECIPROCATING_SHAKER,"Sodium hexameta phosphate, 5g/L",1:10 (varies),m/m,18 hrs,Gravimetric,GRAVIMETRIC,MEASURED,mg/kg,mg1kg-1,EXPERIMENTAL,VALID,SSSA,"Cambardella, Cynthia A., and E. T. Elliott. ""Particulate soil organic?matter changes across a grassland cultivation sequence."" Soil science society of America journal 56.3 (1992): 777-783."
